,ID,Predicted_Y
0,ID_3B4D2Q2DSI,0
1,ID_GNX24MLKHO,0
2,ID_PJ5FDNIOB3,0
3,ID_EMW71WZ4BI,2
4,ID_UEE9UX7ED5,2
5,ID_I04QNVABUP,0
6,ID_DK4CF5J0KR,0
7,ID_C3VNZ4S0CM,2
8,ID_UBS1RUHD5Q,0
9,ID_9QXQI96HB4,1
10,ID_169HOH2P3P,2
11,ID_JIKLF9P4WD,2
12,ID_8R9Q7ZA6R8,2
13,ID_I5SHCAMZ00,2
14,ID_RDEOD24OT3,2
15,ID_G0X1RZJA6O,0
16,ID_YZ02N3E3Z0,2
17,ID_0SFAC9TFHQ,0
18,ID_GRKHELBR84,0
19,ID_5X3SVT2WGF,0
20,ID_5EZ1Q3OLP0,0
21,ID_OUKZWOJTQ3,0
22,ID_S9U2EH8LJR,0
23,ID_STX507UGS0,0
24,ID_5ERET469ET,0
25,ID_QQO7JB96TX,0
26,ID_4V6LL2PBL0,0
27,ID_L6T1HBA624,1
28,ID_28N3Q8PJGM,0
29,ID_21JIV3NUN0,0
30,ID_VA2WVRLOSY,0
31,ID_KF7AU775KV,0
32,ID_C4AXVZUSGK,0
33,ID_L42XK1CKEO,0
34,ID_24RTBOR9SN,0
35,ID_B3HIGPX07Z,0
36,ID_RH918V86BO,0
37,ID_XZE2OM8BM5,0
38,ID_X1Z8RYN2TU,0
39,ID_7MPWFJ9XFI,0
40,ID_11ND6B7B23,0
41,ID_G83JS6CJ63,0
42,ID_1MVX4GRFPM,1
43,ID_5VVT3Q3M5B,0
44,ID_ADA4F484V2,2
45,ID_T3K0B3D6KT,0
46,ID_STZYTB18EY,0
47,ID_DWWTL2NA7Q,2
48,ID_GDC2H76ZXL,0
49,ID_JMN9IGQFMA,0
50,ID_0WONAEZMS6,0
51,ID_NZZ6ZYOK0L,0
52,ID_M5BSXJC5Y1,0
53,ID_LPCK40UX2O,0
54,ID_AEMUHNNAGA,0
55,ID_FNYH6DK33L,0
56,ID_92L2ARX1H3,0
57,ID_WQE9H0VEHU,1
58,ID_MKS0DNCA5F,2
59,ID_PN1G1TSI2D,2
60,ID_LDA5FB6E9G,1
61,ID_8GJEAO1IB1,2
62,ID_Z2GPSH07NU,0
63,ID_U3A7IFMS9S,0
64,ID_OWQKKV85K7,0
65,ID_J0DUQQCW36,2
66,ID_ITX3L5DSF9,0
67,ID_NWLNF7TB7Y,0
68,ID_T4PV36JKGZ,0
69,ID_JZRSQS2UTR,1
70,ID_ZE1PYBC6UJ,0
71,ID_LSIZTIH5I4,0
72,ID_IQFXTPJNFI,0
73,ID_7PYZ1IZOIK,0
74,ID_I40VLSGEI0,0
75,ID_EJT8ZSJLJV,1
76,ID_5FPF4IAWO6,0
77,ID_GFOIWCRI5D,0
78,ID_ILK3NKEHEA,0
79,ID_E5KJT036X9,2
80,ID_4N2VHOYDG4,1
81,ID_5GTS7X71LO,2
82,ID_U75KF4HXF8,0
83,ID_OTXJ3D5AHR,0
84,ID_WPB05KYGAS,1
85,ID_MZTCCF7AFE,2
86,ID_U22MKBNRSW,1
87,ID_IAAH2G62XE,0
88,ID_RLU5L6L93U,2
89,ID_0ARP8WUQ9Z,0
90,ID_VSWD2UZNAK,2
91,ID_AJP4KLX4W1,0
92,ID_Y22C62WVJ4,0
93,ID_SG8XQQSZZ0,0
94,ID_ZIZROAPT1L,0
95,ID_TTU8KUUMZ4,0
96,ID_VXTUGGIMXN,0
97,ID_J6MX57DEBT,0
98,ID_Y15FN960Q2,1
99,ID_WI74FNL0TF,1
100,ID_U0JA4J0JOY,0
101,ID_0IZLXEZCBO,0
102,ID_C2GTVS1H7K,0
103,ID_370S3WEH2Z,2
104,ID_HBZVQWS43C,0
105,ID_6OT61UOMXT,0
106,ID_GMJR0TT6W7,2
107,ID_HRYE4C1E74,1
108,ID_0UIBCZTOO5,2
109,ID_1136CSBSST,1
110,ID_VT4ZKXFFBH,0
111,ID_S573BY1CW6,0
112,ID_VWS4OPIQ7W,1
113,ID_EP8K4GYVTM,2
114,ID_XRHT2JJT0W,2
115,ID_NGIJKDRG8H,0
116,ID_X1NLR9XFJ2,0
117,ID_FW039SPKBU,2
118,ID_6BJTFSEJF6,1
119,ID_F3WDYYP3S3,0
120,ID_RTLEWSKV11,2
121,ID_NNY3OWA2Q9,1
122,ID_3KGXQCWWSM,1
123,ID_6ZC0T4SYCI,1
124,ID_XSR28B6P8H,1
125,ID_0QW3DW7QP7,2
126,ID_0RUP4FH5DK,1
127,ID_65NXP9D3PO,0
128,ID_2MAN37UTDG,1
129,ID_DD3FV5D7CQ,1
130,ID_MWCTZ6P2C7,1
131,ID_KK10LB4F0A,2
132,ID_LWUFLO22Q6,0
133,ID_81GOREGK9A,1
134,ID_CL7PHK74MO,1
135,ID_0MQALBOSXR,1
136,ID_98AD3GEGVS,1
137,ID_EL90FFPNXW,1
138,ID_VWZVGZHFCD,0
139,ID_X9GCF9QNV5,2
140,ID_6X2UNSUKKE,0
141,ID_Y4DF2RFMPA,1
142,ID_D2R340HCQ7,2
143,ID_J76QCJBH2M,0
144,ID_PX6WIUWJVL,0
145,ID_YEV8NWKTAB,0
146,ID_I1HG1SZJYH,2
147,ID_SABCIOESJV,1
148,ID_OG9VG9P5GE,1
149,ID_K6E822GSGP,0
150,ID_DMTQJ185FE,2
151,ID_7C9DSQ43WZ,2
152,ID_JFNFN9HI0Y,2
153,ID_SKXBPEJIB6,0
154,ID_GKODZE8BUL,2
155,ID_0KA63UP4TN,1
156,ID_V9Y2EOYVDD,2
157,ID_505WSMB9VE,2
158,ID_R09MJHOXVS,1
159,ID_2UX4VB19U5,0
160,ID_NVRDHXZTLM,2
161,ID_YJZC6GHB13,1
162,ID_YYAWB1IQMG,1
163,ID_ZRZW6SPY12,1
164,ID_JAGPZ4J70A,0
165,ID_8TLK1GPRJ2,0
166,ID_EKR6SAA6N9,1
167,ID_8OEKSOHKN0,2
168,ID_BNWSYNK6GM,1
169,ID_QM83VMUXD5,1
170,ID_2093I9YZHZ,0
171,ID_8F1YWFHD84,0
172,ID_IRLMJ49LZB,0
173,ID_0B72NCH4WO,2
174,ID_XFMV5VTKMO,2
175,ID_JS8UYRB5J7,1
176,ID_Q08UTFLGYX,1
177,ID_RFHPQ9RA9G,2
178,ID_92IQPLEET7,2
179,ID_VRXYWRR3XC,2
180,ID_DOQETIIZ5T,1
181,ID_XBO4TXO5SH,2
182,ID_SMBEJ1KQ5R,2
183,ID_6CKWK2ZEMC,1
184,ID_YQ1S0V1J1K,2
185,ID_0XVEJR1A7U,1
186,ID_036Z40EFTS,2
187,ID_KU7F3YJGOD,2
188,ID_ERFRSEQHTT,0
189,ID_04RSIBFAE4,0
190,ID_LRFC5XPW1H,1
191,ID_KZTSUP8ZHU,1
192,ID_9HNPPHSCMM,1
193,ID_X308CWD9DL,2
194,ID_PUOEWEBETE,1
195,ID_8MGTP6NPA0,2
196,ID_LUNI504N6R,2
197,ID_KD1Y5ULB96,2
198,ID_MYOJ1WDT1X,0
199,ID_U8KMFQANZV,1
200,ID_RDBD3L4EJ3,2
201,ID_1KW8POF9M4,2
202,ID_XZ6ZCOUGV2,2
203,ID_Y44RRA4UL8,0
204,ID_MJFKUW6F7H,0
205,ID_TDM2D308J4,1
206,ID_V5JT7T0HC1,0
207,ID_IMRDZ8IWNZ,0
208,ID_C46B4MARFB,1
209,ID_RKA1HBS0IE,1
210,ID_TKJ590ZNNJ,1
211,ID_8Q9Z55OZY0,0
212,ID_06008OPPDP,1
213,ID_PMYSEL3UPV,2
214,ID_FLI5DRD6WZ,0
215,ID_XPQCRF5EUO,2
216,ID_V85CA6H2UG,1
217,ID_CGOJJZDIVP,1
218,ID_S45SOC5AFT,2
219,ID_FKBP95FX8Y,0
220,ID_SB8OG3QQ9H,2
221,ID_BS4D66GXD1,0
222,ID_GBQWTVHU02,0
